vid_url,frame,video_timestamp,timer_value,timer_timestamp
https://www.youtube.com/watch?v=UzHtbjtT8hE,1800,0.0:1.0:0.0,144890.0,40:14:50
https://www.youtube.com/watch?v=UzHtbjtT8hE,1830,0.0:1.0:1.0,144889.0,40:14:49
https://www.youtube.com/watch?v=UzHtbjtT8hE,1860,0.0:1.0:2.0,144888.0,40:14:48
https://www.youtube.com/watch?v=UzHtbjtT8hE,1890,0.0:1.0:3.0,144887.0,40:14:47
https://www.youtube.com/watch?v=UzHtbjtT8hE,1920,0.0:1.0:4.0,144886.0,40:14:46
https://www.youtube.com/watch?v=UzHtbjtT8hE,1950,0.0:1.0:5.0,144885.0,40:14:45
https://www.youtube.com/watch?v=UzHtbjtT8hE,1980,0.0:1.0:6.0,144883.0,40:14:43
https://www.youtube.com/watch?v=UzHtbjtT8hE,2010,0.0:1.0:7.0,144882.0,40:14:42
https://www.youtube.com/watch?v=UzHtbjtT8hE,2040,0.0:1.0:8.0,144881.0,40:14:41
https://www.youtube.com/watch?v=UzHtbjtT8hE,2070,0.0:1.0:9.0,144880.0,40:14:40
https://www.youtube.com/watch?v=UzHtbjtT8hE,2100,0.0:1.0:10.0,144879.0,40:14:39
https://www.youtube.com/watch?v=UzHtbjtT8hE,2130,0.0:1.0:11.0,144878.0,40:14:38
https://www.youtube.com/watch?v=UzHtbjtT8hE,2160,0.0:1.0:12.0,144877.0,40:14:37
https://www.youtube.com/watch?v=UzHtbjtT8hE,2190,0.0:1.0:13.0,144876.0,40:14:36
https://www.youtube.com/watch?v=UzHtbjtT8hE,2220,0.0:1.0:14.0,144875.0,40:14:35
https://www.youtube.com/watch?v=UzHtbjtT8hE,2250,0.0:1.0:15.0,144874.0,40:14:34
https://www.youtube.com/watch?v=UzHtbjtT8hE,2280,0.0:1.0:16.0,144872.0,40:14:32
https://www.youtube.com/watch?v=UzHtbjtT8hE,2310,0.0:1.0:17.0,144871.0,40:14:31
https://www.youtube.com/watch?v=UzHtbjtT8hE,2340,0.0:1.0:18.0,144870.0,40:14:30
https://www.youtube.com/watch?v=UzHtbjtT8hE,2370,0.0:1.0:19.0,144869.0,40:14:29
https://www.youtube.com/watch?v=UzHtbjtT8hE,2400,0.0:1.0:20.0,144868.0,40:14:28
https://www.youtube.com/watch?v=UzHtbjtT8hE,2430,0.0:1.0:21.0,144877.0,40:14:37
https://www.youtube.com/watch?v=UzHtbjtT8hE,2460,0.0:1.0:22.0,144876.0,40:14:36
https://www.youtube.com/watch?v=UzHtbjtT8hE,2490,0.0:1.0:23.0,144875.0,40:14:35
https://www.youtube.com/watch?v=UzHtbjtT8hE,2520,0.0:1.0:24.0,144874.0,40:14:34
https://www.youtube.com/watch?v=UzHtbjtT8hE,2550,0.0:1.0:25.0,144872.0,40:14:32
https://www.youtube.com/watch?v=UzHtbjtT8hE,2580,0.0:1.0:26.0,144871.0,40:14:31
https://www.youtube.com/watch?v=UzHtbjtT8hE,2610,0.0:1.0:27.0,144870.0,40:14:30
https://www.youtube.com/watch?v=UzHtbjtT8hE,2640,0.0:1.0:28.0,144869.0,40:14:29
https://www.youtube.com/watch?v=UzHtbjtT8hE,2670,0.0:1.0:29.0,144868.0,40:14:28
https://www.youtube.com/watch?v=UzHtbjtT8hE,2700,0.0:1.0:30.0,144867.0,40:14:27
https://www.youtube.com/watch?v=UzHtbjtT8hE,2730,0.0:1.0:31.0,144866.0,40:14:26
https://www.youtube.com/watch?v=UzHtbjtT8hE,2760,0.0:1.0:32.0,144865.0,40:14:25
https://www.youtube.com/watch?v=UzHtbjtT8hE,2790,0.0:1.0:33.0,144864.0,40:14:24
https://www.youtube.com/watch?v=UzHtbjtT8hE,2820,0.0:1.0:34.0,144863.0,40:14:23
https://www.youtube.com/watch?v=UzHtbjtT8hE,2850,0.0:1.0:35.0,144861.0,40:14:21
https://www.youtube.com/watch?v=UzHtbjtT8hE,2880,0.0:1.0:36.0,144860.0,40:14:20
https://www.youtube.com/watch?v=UzHtbjtT8hE,2910,0.0:1.0:37.0,144859.0,40:14:19
https://www.youtube.com/watch?v=UzHtbjtT8hE,2940,0.0:1.0:38.0,144858.0,40:14:18
https://www.youtube.com/watch?v=UzHtbjtT8hE,2970,0.0:1.0:39.0,144857.0,40:14:17
https://www.youtube.com/watch?v=UzHtbjtT8hE,3000,0.0:1.0:40.0,144856.0,40:14:16
https://www.youtube.com/watch?v=UzHtbjtT8hE,3030,0.0:1.0:41.0,144855.0,40:14:15
https://www.youtube.com/watch?v=UzHtbjtT8hE,3060,0.0:1.0:42.0,144854.0,40:14:14
https://www.youtube.com/watch?v=UzHtbjtT8hE,3090,0.0:1.0:43.0,144853.0,40:14:13
https://www.youtube.com/watch?v=UzHtbjtT8hE,3120,0.0:1.0:44.0,144852.0,40:14:12
